AQI,CO,NO2,O3,PM10,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,year,month,day,hour,day_of_week,day_of_year,week_of_year,hour_sin,hour_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,season,time_of_day,is_weekend,PM25_lag_1h,PM25_lag_2h,PM25_lag_3h,PM25_lag_6h,PM25_lag_12h,PM25_lag_24h,PM25_rolling_mean_3h,PM25_rolling_std_3h,PM25_rolling_max_3h,PM25_rolling_min_3h,PM25_rolling_mean_6h,PM25_rolling_std_6h,PM25_rolling_max_6h,PM25_rolling_min_6h,PM25_rolling_mean_12h,PM25_rolling_std_12h,PM25_rolling_max_12h,PM25_rolling_min_12h,PM25_rolling_mean_24h,PM25_rolling_std_24h,PM25_rolling_max_24h,PM25_rolling_min_24h,Temperature_lag_1h,Temperature_lag_3h,Temperature_lag_6h,Relative Humidity_lag_1h,Relative Humidity_lag_3h,Relative Humidity_lag_6h,Wind Speed_lag_1h,Wind Speed_lag_3h,Wind Speed_lag_6h,Pressure_lag_1h,Pressure_lag_3h,Pressure_lag_6h,temp_humidity_interaction,wind_humidity_interaction,temp_wind_interaction,clouds_precip_interaction,PM25_PM10_ratio,CO_NO2_ratio,O3_NO2_ratio,heat_index,wind_chill,atmospheric_stability,Temperature_squared,Relative Humidity_squared,Wind Speed_squared,Pressure_squared,total_pollutants,avg_pollutants,PM25_change_1h,PM25_change_3h,temp_change_1h
161,309.1,66.7,3.3,80.0,103.7,100,0.0,1019,91,21.3,0.0,0.66,2023,3,9,0,3,68,10,0.0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,3,0,79.0,68.0,81.0,48.0,51.0,47.0,70.33333333333333,7.767453465154017,79.0,64.0,63.333333333333336,16.59718851693463,81.0,39.0,59.416666666666664,12.773967372130018,81.0,39.0,51.916666666666664,12.325006981801236,81.0,35.0,21.7,22.3,23.2,88.0,82.0,75.0,1.33,1.33,1.0,1019.0,1018.0,1016.0,1938.3,60.06,14.058000000000002,0.0,0.7999900001249984,4.634113431582735,0.04947452062187972,19.383,20.970000000000002,0.02090282541430283,453.69000000000005,8281,0.43560000000000004,1038361,626.8000000000001,104.46666666666668,-15.0,-17.0,-0.3999999999999986
167,330.9,66.0,0.0,85.0,108.0,100,0.0,1018,94,21.0,0.0,1.2,2023,3,9,1,3,68,10,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,3,0,64.0,79.0,68.0,39.0,65.0,45.0,70.33333333333333,7.767453465154017,79.0,64.0,68.16666666666667,11.548448669265788,81.0,49.0,59.666666666666664,12.921675470684784,81.0,39.0,52.875,12.653621238000706,81.0,35.0,21.3,22.0,23.0,91.0,85.0,76.0,0.66,2.0,2.0,1019.0,1019.0,1017.0,1974.0,112.8,25.2,0.0,0.7999905883460194,5.0135604005999905,0.0,19.74,20.4,0.020628663429603705,441.0,8836,1.44,1036324,657.9,109.64999999999999,4.0,0.0,-0.3000000000000007
169,361.6,65.0,0.0,87.5,117.7,91,0.25,1018,93,20.8,0.0,0.8,2023,3,9,2,3,68,10,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,3,0,68.0,64.0,79.0,49.0,62.0,42.0,67.33333333333333,3.055050463303859,70.0,64.0,71.66666666666667,6.77249338624017,81.0,64.0,60.333333333333336,13.255073356906387,81.0,39.0,54.041666666666664,12.895834064994942,81.0,35.0,21.0,21.7,22.7,94.0,88.0,79.0,1.2,1.33,0.66,1018.0,1019.0,1018.0,1934.4,74.4,16.64,22.75,0.7999908572473458,5.562991338594791,0.0,19.344,20.400000000000002,0.020432199968369383,432.64000000000004,8649,0.6400000000000001,1036324,701.8000000000001,116.96666666666668,2.0,-9.0,-0.1999999999999993
200,392.4,64.0,0.0,116.3,127.3,83,0.75,1017,93,20.7,0.0,0.4,2023,3,9,3,3,68,10,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,3,0,70.0,68.0,64.0,81.0,55.0,45.0,77.0,13.892443989449797,93.0,68.0,73.66666666666667,10.708252269472684,93.0,64.0,63.5,16.099124764465245,93.0,39.0,56.041666666666664,14.985439793249357,93.0,35.0,20.8,21.3,22.3,93.0,91.0,82.0,0.8,0.66,1.33,1018.0,1019.0,1018.0,1925.1,37.2,8.28,62.25,0.7996491861634896,6.131154200715613,0.0,19.250999999999998,20.5,0.02035396228715606,428.48999999999995,8649,0.16000000000000003,1034289,792.9999999999999,132.16666666666666,23.0,29.0,-0.10000000000000142
195,423.1,63.0,0.0,111.3,137.0,75,1.0,1017,93,20.5,0.0,0.8,2023,3,9,4,3,68,10,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,3,0,93.0,70.0,68.0,68.0,54.0,42.0,84.0,12.288205727444499,93.0,70.0,77.16666666666667,11.856081421222907,93.0,64.0,66.41666666666667,17.343892471432298,93.0,39.0,58.0,16.10022954197696,93.0,35.0,20.7,21.0,22.0,93.0,94.0,85.0,0.4,1.2,2.0,1017.0,1018.0,1019.0,1906.5,74.4,16.400000000000002,75.0,0.7996334264741557,6.7157664164060895,0.0,19.065,20.1,0.020157305646700447,420.25,8649,0.6400000000000001,1034289,823.4,137.23333333333332,-4.0,21.0,-0.1999999999999993
196,467.7,64.3,1.3,112.5,137.7,83,0.75,1017,93,20.3,0.0,1.0,2023,3,9,5,3,68,10,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,3,0,89.0,93.0,70.0,79.0,49.0,39.0,90.66666666666667,2.0816659994660855,93.0,89.0,79.0,12.992305415129387,93.0,64.0,69.83333333333333,17.636910332045296,93.0,39.0,60.125,16.832454418150974,93.0,35.0,20.5,20.8,21.7,93.0,93.0,88.0,0.8,0.8,1.33,1017.0,1018.0,1019.0,1887.9,93.0,20.3,62.25,0.7999928889520982,7.273603831977729,0.020217414970218194,18.879,19.8,0.01996064900624483,412.09000000000003,8649,1.0,1034289,873.5,145.58333333333334,1.0,20.0,-0.1999999999999993
216,512.2,65.7,2.7,131.3,138.3,91,0.5,1018,94,20.2,0.0,2.0,2023,3,9,6,3,68,10,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,90.0,89.0,93.0,64.0,48.0,35.0,94.66666666666667,8.96288643983249,105.0,89.0,85.83333333333333,14.246637030073703,105.0,68.0,74.58333333333333,18.85571209972933,105.0,39.0,63.041666666666664,18.291074484488362,105.0,39.0,20.3,20.7,21.3,93.0,93.0,91.0,1.0,0.4,0.66,1017.0,1017.0,1019.0,1898.8,188.0,40.4,45.5,0.7996892636004295,7.7959239585394435,0.041095264912253994,18.988,19.2,0.01984280958466642,408.03999999999996,8836,4.0,1036324,955.2,159.20000000000002,15.0,12.0,-0.10000000000000142
223,556.8,67.0,4.0,137.5,139.0,100,0.0,1019,95,20.0,0.9,3.0,2023,3,9,7,3,68,10,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,105.0,90.0,89.0,68.0,39.0,40.0,101.66666666666667,10.40832999733065,110.0,90.0,92.83333333333333,14.048724734532584,110.0,70.0,80.5,17.784058234068166,110.0,49.0,65.95833333333333,19.961874893790963,110.0,39.0,20.2,20.5,21.0,94.0,93.0,94.0,2.0,0.8,1.2,1018.0,1017.0,1018.0,1900.0,285.0,60.0,0.0,0.7999941818604955,8.310323726511543,0.05970060148355994,19.0,18.5,0.019627066116716274,400.0,9025,9.0,1038361,1014.3,169.04999999999998,5.0,21.0,-0.1999999999999993
235,434.4,51.0,30.0,148.8,126.0,93,0.0,1019,87,21.4,2.5,2.0,2023,3,9,8,3,68,10,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,110.0,105.0,90.0,70.0,49.0,43.0,111.33333333333333,7.094598884597567,119.0,105.0,101.0,12.247448713915944,119.0,89.0,86.33333333333333,17.991580522482465,119.0,64.0,69.125,22.077555984774882,119.0,39.0,20.0,20.3,20.8,95.0,93.0,93.0,3.0,1.0,0.8,1019.0,1017.0,1018.0,1861.8,174.0,42.8,0.0,0.799725808294299,8.517480049410796,0.5882237603184252,18.618,20.4,0.021000960744886412,457.9599999999999,7569,4.0,1038361,909.2,151.53333333333333,9.0,29.0,1.3999999999999986
221,312.0,35.0,56.0,136.3,113.0,87,0.0,1019,80,22.7,3.9,1.0,2023,3,9,9,3,68,10,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,119.0,110.0,105.0,93.0,81.0,47.0,112.66666666666667,5.507570547286079,119.0,109.0,103.66666666666667,11.89397606633997,119.0,89.0,88.66666666666667,19.023111939921623,119.0,64.0,71.70833333333333,22.98483274317835,119.0,39.0,21.4,20.2,20.7,87.0,94.0,93.0,2.0,2.0,0.4,1019.0,1018.0,1017.0,1816.0,80.0,22.7,0.0,0.7997006625043103,8.914031027684924,1.599954287020371,18.16,22.2,0.02227672004247297,515.29,6400,1.0,1038361,761.3,126.88333333333333,-10.0,4.0,1.3000000000000007
